Token Number,Rates,length,index_in_dataset,occurrence_number,device
17041,[0.371428571.],11799,148,2,disk
15716,[0.371428571.],11176,151,2,disk
5312,[0.371428571.],3539,106,2,disk
13409,[0.371428571.],8560,121,2,disk
14122,[0.371428571.],9464,76,2,disk
4276,[0.371428571.],2904,159,2,disk
15811,[0.371428571.],10784,199,2,disk
5800,[0.371428571.],3878,143,2,disk
9356,[0.371428571.],6385,191,2,disk
25467,[0.371428571.],20271,160,2,disk
9245,[0.371428571.],6247,93,2,disk
16198,[0.371428571.],12335,71,2,disk
5960,[0.371428571.],3928,113,2,disk
11041,[0.371428571.],7481,70,2,disk
25470,[0.371428571.],20273,87,2,disk
10149,[0.371428571.],6960,58,2,disk
15338,[0.371428571.],10663,99,2,disk
16931,[0.371428571.],12785,20,2,disk
11101,[0.371428571.],7565,14,2,disk
3494,[0.371428571.],2343,130,2,disk
10148,[0.371428571.],6956,188,2,disk
8167,[0.371428571.],5985,149,2,disk
13057,[0.371428571.],10499,106,2,disk
10759,[0.371428571.],7209,172,2,disk
